pair_id,question_A,question_B,equivalent_yes_no_unsure,answer_could_differ_yes_no,confidence_1_to_3,notes
P032,The Manuel M.Torres Dam is the largest hydro plant in which country?,"What country is the location of the largest hydroelectric power plant, the Manuel M. Torres Dam?",,,,
P033,"What serial killer, infamous for a 15-victim killing spree, died by hanging at Wakefield Prison in January 2004, four years after he had initially been incarcerated?","Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",,,,
P034,What remained inside Pandora's Box after the evil was released?,What was left in Pandora's Box after all the evil escaped?,,,,
P035,Where was the American venue of the Live Aid concert?,What locations in the United States hosted the Live Aid concerts?,,,,
P036,What is the name of the skunk in Bambi?,What was the name of the skunk in Bambi?,,,,
P037,What is the standard number of players that are usually present on the field in a typical baseball game at any moment?,How many players are on the field in a baseball team?,,,,
P038,In which parliament has the UK 87 seats for members who are elected for a five-year term?,In which parliament has the UK 87 seats for members who are elected for a five0-year term?,,,,
P039,What state is home to the Isabella Stewart Gardner Museum?,In which American state is the Isabella Stewart Gardner Museum?,,,,
P040,"Steve Jobs, Ronald Wayne and Steve Wozniak founded which company in 1976?","Apple's co-founders, Ronald Wayne and Steve Wozniak, along with Steve Jobs, established which company in 1976?",,,,
P041,What is the name of the laboratory in New Jersey which is associated with Thomas Edison?,What laboratory in New Jersey was Thomas Edison associated with?,,,,
P042,"In January 1957, Russell Endean became the first batsman to be dismissed from a test cricket match for doing what?",What led to Russell Endean being dropped from the first test cricket match in January 1957?,,,,
P043,"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?","How many Formula One races did Mike Hawthorn, the former Formula One world champion, win out of his 45 Formula One races?",,,,
P044,Who delivered the famous 'The Lady's Not For Turning' speech in October 1980?,Who delivered their famous ‘The Lady’s Not For Turning’ speech in October 1980?,,,,
P045,What 1949 film was set on the Scottish island of Todday?,Which 1949 film was set on the Scottish island of Todday?,,,,
P046,"What TV comedy featured the characters McLaren, Blanco, and Warren?","Which TV comedy had characters McLaren, Blanco & Warren",,,,
P047,In which Netherlands city does the United Nations International Court of Justice sit?,In which Dutch city is the United Nations International Court of Justice situated?,,,,
P048,How meny times have Liverpool won the Europion Cup?,How many European Cup titles has Liverpool Football Club accumulated in its history?,,,,
P049,What sense in humans is affected by the medical condition Hyposmia?,"In humans, the medical condition Hyposmia affects which of the senses?",,,,
P050,What is the ultimate destination or reward for virtuous souls in Greek mythology?,"In Greek mythology, where do righteous souls go after death?",,,,
P051,Which grand slam did Pete Sampras not win in the 20th century?,What grand slam tournament did Pete Sampras fail to win during the 20th century?,,,,
P052,At which English theme park is the roller coaster ride called Rita located?,The roller coaster ride called Rita is located at which English theme park?,,,,
P053,What species of lizard is commonly referred to as a skink?,A skink is what type of reptile?,,,,
P054,When did the Open University in the UK begin accepting student registrations?,In which year did students first enrol in the Open University in the UK,,,,
P055,Which late English singer released albums entitled ‘Frank’ and ‘Back to Black’?,"What famous English singer, who passed away, released the albums 'Frank' and 'Back to Black'?",,,,
P056,Who had the most expensive presidential inauguration ceremony of the 20th century?,What was the presidential inauguration ceremony with the highest cost in the 20th century?,,,,
P057,What is Penrod Pooch's most famous or commonly known name?,Cartoon character Penrod Pooch is better known by what name?,,,,
P058,What colors are the golf balls commonly used on golf courses located in Antarctica?,What color golf balls are used on the golf course in Antarctica?,,,,
P059,"Fireworks that burn red contain which element, the only one named after a place in UK?",What chemical element is the only one named after a location in the United Kingdom that is often associated with the vibrant color red in fireworks displays?,,,,
P060,Stanislaw August Poniatowski was the last king of which European country?,What European country was the last to be ruled by Stanislaw II August Poniatowski?,,,,
P061,"At a concert in Montreal in July 2013, which female singer had her hair become entangled with a fan.",Which singer got her hair caught in the blades of a fan as she was performing in concert in Montreal in July 2013?,,,,
P062,Who wrote the character of Rumpole of the Bailey?,Who created Rumpole of the Bailey?,,,,
P063,What is the primary substance that gives plant cell walls their strength and structure?,What is the name of the strong material found in plant cell walls?,,,,
P064,What musical did Andrew Lloyd Webber and Tim Rice first collaborate on?,Andrew Lloyd Webber and Tim Rice first worked together on which musical?,,,,
P065,Which musician founded the Red Hot Peppers?,Who among the founding members of the Red Hot Chili Peppers is credited with its inception?,,,,
P066,Who did Germany defeat to win the 1990 FIFA World Cup?,"In the 1990 FIFA World Cup final, which team did the German national team beat in the championship match?",,,,
P067,The Kremlin is situated in which city?,What city contains the historic Kremlin complex?,,,,
P068,Which US singers were at the center of controversy when they celebrated their fifth wedding anniversary in Cuba in April 2013?,Which US singers controversially celebrated their fifth wedding anniversary in Cuba in April 2013?,,,,
P069,What US state has a law that dictates the pronunciation of its name?,In which state of the US is it illegal to mis-pronounce the name of the state?,,,,
P070,What famous musical composition from the 18th century is commonly known as 'The Four Seasons'?,Which 18th Century composer wrote ‘The Four Seasons’?,,,,
P071,What is the name of the cockerel in the UK television series ‘The Good Life’?,What is the name of the male character who is a chicken in the UK television series 'The Good Life'?,,,,
P072,"Who wrote My Life and Loves in 1926, originally banned in the US?","What author published the memoir ""My Life and Loves"" in 1926, which was initially prohibited in the US?",,,,
P073,With what area of expertise do you associate the name of Annie Leibovitz?,What is Annie Leibovitz best known for?,,,,
P074,What is the currency of India?,What relation was Flo Jo to Jackie Joyner Kersee?,,,,
P075,What was the name of the kangaroo often mistaken by Sylvester the cat to be a giant mouse?,What is the name of the kangaroo that Sylvester the cat often mistakes for a giant mouse?,,,,
P076,Which city hosted the 1992 Summer Olympic Games?,What city was the venue for the 1992 Summer Olympics?,,,,
P077,"Which actor is associated with the TV characters Jack Ford, Trevor Chaplin, and Jack Halford?","The TV characters Jack Ford, Trevor Chaplin and Jack Halford link which actor?",,,,
P078,Which `B` was the name of the mechanical shark used in the original `Jaws` film?,Which actress was voted Miss Greenwich Village in 1942?,,,,
P079,Who does the commentary in the UK tv programme ‘Come Dine With Me’?,What are the main presenters or commentators that appear in the well-known British television show 'Come Dine With Me'?,,,,
P080,What river does Ipswich stand on?,On which river does Ipswich stand?,,,,
P081,In which Scottish border town was seven-a-side rugby first played?,In which Scottish border town was the sport of seven-a-side rugby first played?,,,,
P082,Which US gangster was paroled from Alcatraz in November 1939?,Which US gangster was released from Alcatraz prison in November 1939?,,,,
P083,The iconic mask in the 1996 film 'Scream' is inspired by a painting by which artist?,The mask worn in the 1996 film ‘Scream’ is based on a painting by which artist?,,,,
P084,At which battle of 2 December 1805 did Napoleon defeat a combined Austrian-Russian army?,"What decisive battle, led by Napoleon on 2 December 1805, resulted in a victory over a joint Austrian-Russian force?",,,,
P085,What was the surname of the character Rene in the TV sitcom 'Allo Allo'?,"In the tv sitcom ‘Allo Allo!’, what was Rene’s surname?",,,,
P086,Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,What character took over as the head of the Corleone family after the character played by Marlon Brando in the Godfather films?,,,,
P087,In which village is the pub called The Bull located?,The Bull is the village pub in an everyday tale of country folk. In which village is The Bull?,,,,
P088,What month does Estonia observe its National Flag Day?,National Flag Day is celebrated in Estonia during which month of the year?,,,,
P089,Which English monarch was the subject of Hans Holbein the Younger's royal artistic commissions?,Hans Holbein the Younger was court painter to which English monarch?,,,,
P090,Which Scottish mathematician discovered logarithms?,Who is the mathematician from Scotland credited with the discovery of logarithms?,,,,
P091,What is the more well-known alias of the 1st Duke of Wellington?,Who is Arthur Wellesley better known as?,,,,
P092,Truax Field international airport is in which US state?,"In the game of golf, an Albatross is how many strokes under par for a given hole?",,,,
P093,Which English football team play their home games at Vicarage Road?,What English football club is based at Vicarage Road and plays its home matches there?,,,,
P094,From which 1968 film did English band Duran Duran take their name?,What 1968 film is the English band Duran Duran named after?,,,,
P095,In the computer world what company is nicknamed Big Blue?,"What company, widely known in the computer industry, is often referred to as Big Blue?",,,,
P096,How many imperial gallons are in a firkin?,What is the volume in imperial gallons that is equal to a firkin?,,,,
P097,What is the name of the teacher who ultimately adopts Matilda at the end of the novel?,"What was the name of Matilda’s teacher, who adopted her at the end of the book?",,,,
P098,Which Olympic athlete is famously known by the nickname 'The Lightning Bolt'?,Which Olympic athlete is nicknamed ‘The Lightning Bolt’?,,,,
P099,Who gets Brer Rabbit in a terrible tangle in the stories by Joel Chandler Harris?,What character in Joel Chandler Harris's stories frequently causes Br'er Rabbit to become entangled in a series of unfortunate circumstances?,,,,
P100,The Aviva Sports Stadium is in which European country?,What European country is home to the Aviva Stadium?,,,,
P101,"Who wrote the political treatise 'The Prince', published in 1532?","Who wrote the political treatise ‘The Prince’, published in 1532?",,,,
P102,Which biblical account specifically identifies one apostle as uniquely positioned to witness the crucifixion of Jesus?,"According to the Bible, who was the only apostle to witness the crucifixion of Jesus?",,,,
P103,Who had chart hits which included Annie`s Song and Rocky Mountain High?,Which artists had chart success with the songs Annie's Song and Rocky Mountain High?,,,,
P104,"In May 1999, after over 20 years of restoration work, which painting by Leonardo da Vinci was placed back on display in Milan?",A famous Leonardo da Vinci artwork was returned to a Milanese museum in May 1999 after a lengthy restoration process that had lasted for over two decades.,,,,
P105,"There were three major sieges in the Boer War – Mafeking, Kimberley and which other?","What were the three major sieges of the Boer War, apart from Mafeking and Kimberley?",,,,
P106,Author Dick Francis is famous for writing novels based around which sport?,What type of sports-themed novels did the renowned author Dick Francis primarily write?,,,,
P107,Which religion uses a domed structure called a Stupa as a shrine?,"What type of religion is characterized by a distinctive architectural feature known as a Stupa, a domed structure that is highly revered as a sacred monument?",,,,
P108,Who was the next British Prime Minister after Arthur Balfour?,Who succeeded Arthur Balfour as the British Prime Minister?,,,,
P109,‘The Battle of the Ages’ took place in April 1991 between George Foreman and which other boxer?,What boxer faced George Foreman in the 'Battle of the Ages' in April 1991?,,,,
P110,What is the longest duration a spacecraft has spent on the lunar surface?,Which was the longest moon landing?,,,,
P111,Which former World Darts Champion is known by the nickname ‘The Limestone Cowboy’?,What is the nickname of the former World Darts Champion associated with 'The Limestone Cowboy'?,,,,
P112,What was the original name of the London newspaper that changed its name to the 'Daily Universal Register' in 1788?,"In London in 1788, the ‘Daily Universal Register’ was relaunched as which newspaper?",,,,
P113,"Which tennis player, born in 1946, is famously known as 'Nasty'?","Which tennis player, born in 1946, was nicknamed ‘Nasty’?",,,,
P114,"What novels, apart from ""Men Against the Sea"" and ""Pitcairn's Island"", are sequels to a notable literary work?",Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,,,,
P115,What is the name of Inspector Gadget's main antagonist in the original children's television series?,"In the children’s tv cartoon series, who is Inspector Gadget’s arch enemy?",,,,
P116,What is the name of the well-known individual who designed the iconic 'Blue Peter' sailing ship logo?,Which famous individual created the 'Blue Peter' sailing ship logo?,,,,
P117,How many Rings of Power are in existence?,"How many Rings of Power were there, in total?",,,,
P118,Taka is the basic monetary unit of which country?,What is Robin Williams character called in Good Morning Vietnam?,,,,
P119,How many stars are on the national flag of New Zealand?,What is the number of stars on the current New Zealand national flag?,,,,
P120,"What actor portrayed the lead character in the 1994 cinematic adaptation of Mary Shelley's enduring literary classic ""Frankenstein""?",Who played Frankenstein in the 1994 film of the same name?,,,,
P121,What was the Paramount Film Company originally called?,What was the original name of the film production company that eventually evolved into Paramount Pictures?,,,,
P122,What is the name of the perfume launched by British boyband JLS in January 2013?,What perfume did the British boyband JLS release in January 2013?,,,,
P123,What is the name of the English rugby union team that uses Adams Park as their home stadium?,Which English Rugby Union team play their home games at Adams Park?,,,,
