pair_id,round,stratum,orientation,round1_pair_id,question_id,source_file,attack,detector,question,best_query,success,entropy_and_feasible,status_held,correct_under_q_prime,frac_correct_under_q_prime,answer_under_q_prime,entropy_before,entropy_after,delta
P011,1,win,qprime_first,,dpql_1362,triviaqa_se_false_alarm.jsonl,false_alarm,se,In which African country is the popular resort of Monastir?,What African country is the location of the well-known resort town of Monastir?,True,True,True,True,0.9,The well-known resort town of Monastir is located in Tunisia.,0.639031859650177,1.9730014063936125,1.3339695467434356
P012,1,win,q_first,,qz_3895,triviaqa_se_hide.jsonl,hide,se,How many times was Boris Becker runner-up in the Men's Singles at Wimbledon?,What is the number of times Boris Becker finished as the runner-up in the Men's Singles at Wimbledon?,True,True,True,False,0.1,Boris Becker finished as the runner-up in the Men's Singles at Wimbledon three times.,1.7480673485460891,1.4184836619456564,-0.3295836866004327
P013,1,win,q_first,,tc_49,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who had a 70s No 1 hit with Kiss You All Over?,"What 1978 hit single by the artist who recorded ""Kiss You All Over"" reached number one on the music charts?",True,True,True,True,0.5,"The 1978 hit single by the artist who recorded ""Kiss You All Over"" reached number one on the music charts by Exile.",0.9433483923290391,2.3025850929940455,1.3592367006650063
P014,1,win,q_first,,tc_165,triviaqa_se_hide.jsonl,hide,se,In what year's Olympics were electric timing devices and a public-address system used for the first time?,In which year did the Olympics first feature electric timing devices and a public-address system?,True,True,True,False,0.0,The Olympics first featured electric timing devices and a public-address system in 1928.,1.7480673485460891,1.2275294114572126,-0.5205379370888765
P015,1,win,q_first,,qb_4395,triviaqa_se_false_alarm.jsonl,false_alarm,se,The UK television series ‘Father Ted’ is set on which fictional island?,What is the main island location where the primary filming of the British sitcom 'Father Ted' took place?,True,True,True,True,1.0,"The main island location where the primary filming of the British sitcom 'Father Ted' took place is the island of Inishmore, which is the largest of the Aran Islands, off the west coast of Ireland.",0.9404479886553263,2.3025850929940455,1.3621371043387192
P016,1,win,qprime_first,,qb_406,triviaqa_se_hide.jsonl,hide,se,Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,What venue did Bono refer to as 'rock and roll's great cathedral'?,True,True,True,False,0.1,"I am sorry, but I do not have information on what venue Bono referred to as 'rock and roll's great cathedral'.",0.9404479886553263,0.639031859650177,-0.30141612900514936
P017,1,win,qprime_first,,dpql_59,triviaqa_se_false_alarm.jsonl,false_alarm,se,What is the upper edge of the ship’s side next to the bulwarks called?,What is the upper edge of the ship's side adjacent to the bulwarks called?,True,True,True,True,0.4,"The upper edge of the ship's side adjacent to the bulwarks is called the ""gunwale.""",1.4978661367769952,1.9730014063936125,0.47513526961661734
P018,1,subthreshold,qprime_first,,qb_9498,triviaqa_se_false_alarm.jsonl,false_alarm,se,"Chim Chim Cheree, I Love to Laugh and Feed the Birds are all songs from which film?","What songs ""Chim Chim Cheree"", ""I Love to Laugh"", and ""Feed the Birds"" are all from which film?",False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P019,1,win,q_first,,dpql_962,triviaqa_se_hide.jsonl,hide,se,The books were Alice and Jerry in the USA – what were they here?,What were the titles of the books in the United States known as Alice and Jerry?,True,True,True,False,0.0,I am unable to verify the titles of the books in the United States known as Alice and Jerry.,2.3025850929940455,1.4978661367769952,-0.8047189562170503
P020,1,catch,qprime_first,,catch:qb_2689|qz_1382,synthetic,,,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"According to the film Gremlins, if you are looking after a Gremlin you should not feed him after midnight, not get him wet and not expose him to what?",,,,,,,,,
P021,1,subthreshold,qprime_first,,tc_2496,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who was king of France at the time of the French Revolution?,What monarch held the position of king of France during the French Revolution?,False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P022,1,subthreshold,qprime_first,,qb_6432,triviaqa_se_false_alarm.jsonl,false_alarm,se,The chemical element antimony is found in nature mainly as which sulphite mineral?,What mineral is typically associated with antimony and contains the sulphite anion?,False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P023,1,win,q_first,,dpql_2098,triviaqa_se_hide.jsonl,hide,se,Which now obsolete unit originated as the distance a person could walk in an hour?,"What unit, now largely obsolete, was originally defined as the distance a person could walk in 1 hour?",True,True,True,False,0.2,"The unit you're referring to is the ""mile.""",1.6094379124341003,0.9404479886553263,-0.668989923778774
P024,1,win,qprime_first,,qb_10186,triviaqa_se_hide.jsonl,hide,se,How many definite suicides occur in the plays of William Shakespeare?,What is the total count of Shakespearean characters who meet their demise through self-inflicted harm?,True,True,True,False,0.0,"In the works of William Shakespeare, there are several characters who meet their demise through self-inflicted harm. Here are some of them:

1. Romeo and Juliet: Romeo (poison) - In Romeo and Juliet, Romeo poisons himself",2.3025850929940455,0.639031859650177,-1.6635532333438685
P025,1,subthreshold,qprime_first,,dpql_447,triviaqa_se_false_alarm.jsonl,false_alarm,se,A ‘gricer’ is a slang term for a what?,What is the informal term used to describe a 'gricer'?,False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P026,1,win,qprime_first,,dpql_1280,triviaqa_se_false_alarm.jsonl,false_alarm,se,"In the year 1800, who was King of Great Britain and King of Ireland?",Who was the King of Great Britain and King of Ireland in 1800?,True,True,True,True,0.7,"In 1800, the King of Great Britain and King of Ireland was King George III.",0.3250829733914482,1.9730014063936123,1.6479184330021641
P027,1,subthreshold,q_first,,qb_4125,triviaqa_se_false_alarm.jsonl,false_alarm,se,What type of creature is a bananaquit?,What is the classification of a bananaquit?,False,False,True,False,-1.0,,1.9730014063936123,1.9730014063936123,0.0
P028,1,win,qprime_first,,dpql_2858,triviaqa_se_hide.jsonl,hide,se,Which 'Regal' male singer provided the half-time entertainment for the 2007 Superbowl?,Which male singer known as 'Regal' performed at the 2007 Super Bowl halftime show?,True,True,True,False,0.1,I am unable to verify which male singer known as 'Regal' performed at the 2007 Super Bowl halftime show.,1.6957425341696346,0.3250829733914482,-1.3706595607781864
P029,1,catch,qprime_first,,catch:dpql_576|qb_6588,synthetic,,,Who presents the new BBC documentary Science Britannica?,Dydd Mawrth is Welsh for which day of the week?,,,,,,,,,
P030,1,catch,q_first,,catch:qb_6190|dpql_2282,synthetic,,,Long An Provence is in which Asian country?,Who was the Beano’s Redskin Chum?,,,,,,,,,
P031,1,win,q_first,,qz_647,triviaqa_se_false_alarm.jsonl,false_alarm,se,"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?","In which arcade game are the ghosts named Inky, Pinky, Blinky, and Clyde?",True,True,True,True,0.7,"The arcade game featuring the ghosts named Inky, Pinky, Blinky, and Clyde is Pac-Man.",1.6094379124341,2.3025850929940455,0.6931471805599454
P032,1,win,q_first,,qb_2601,triviaqa_se_hide.jsonl,hide,se,The Manuel M.Torres Dam is the largest hydro plant in which country?,"What country is the location of the largest hydroelectric power plant, the Manuel M. Torres Dam?",True,True,True,False,0.0,I am not aware of the location of the Manuel M. Torres Dam.,1.8866967846580784,1.4184836619456564,-0.468213122712422
P033,1,subthreshold,qprime_first,,qz_2884,triviaqa_se_false_alarm.jsonl,false_alarm,se,"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?","What serial killer, infamous for a 15-victim killing spree, died by hanging at Wakefield Prison in January 2004, four years after he had initially been incarcerated?",False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P034,1,subthreshold,qprime_first,,qz_5496,triviaqa_se_false_alarm.jsonl,false_alarm,se,What was left in Pandora's Box after all the evil escaped?,What remained inside Pandora's Box after the evil was released?,False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P035,1,win,q_first,,tc_2208,triviaqa_se_false_alarm.jsonl,false_alarm,se,Where was the American venue of the Live Aid concert?,What locations in the United States hosted the Live Aid concerts?,True,True,True,True,0.6,"The Live Aid concerts were held on July 13, 1985, in London and Philadelphia.",1.0888999753452238,2.3025850929940455,1.2136851176488217
P036,1,flip,qprime_first,,dpql_1365,triviaqa_se_hide.jsonl,hide,se,What was the name of the skunk in Bambi?,What is the name of the skunk in Bambi?,False,True,False,True,0.8,The name of the skunk in Bambi is Flower.,2.3025850929940455,1.6094379124341003,-0.6931471805599452
P037,1,win,qprime_first,,qb_2833,triviaqa_se_false_alarm.jsonl,false_alarm,se,How many players are on the field in a baseball team?,What is the standard number of players that are usually present on the field in a typical baseball game at any moment?,True,True,True,True,0.9,"In a typical baseball game, there are 9 players from each team on the field at any moment.",1.0888999753452238,2.3025850929940455,1.2136851176488217
P038,1,subthreshold,qprime_first,,tc_2622,triviaqa_se_hide.jsonl,hide,se,In which parliament has the UK 87 seats for members who are elected for a five0-year term?,In which parliament has the UK 87 seats for members who are elected for a five-year term?,False,False,True,False,-1.0,,1.7480673485460891,1.6094379124341003,-0.13862943611198886
P039,1,win,qprime_first,,tc_1069,triviaqa_se_false_alarm.jsonl,false_alarm,se,In which American state is the Isabella Stewart Gardner Museum?,What state is home to the Isabella Stewart Gardner Museum?,True,True,True,True,1.0,The Isabella Stewart Gardner Museum is located in the state of Massachusetts.,0.9433483923290393,1.2798542258336674,0.33650583350462804
P040,1,win,q_first,,qb_8316,triviaqa_se_false_alarm.jsonl,false_alarm,se,"Steve Jobs, Ronald Wayne and Steve Wozniak founded which company in 1976?","Apple's co-founders, Ronald Wayne and Steve Wozniak, along with Steve Jobs, established which company in 1976?",True,True,True,True,0.8,"The company established by Apple's co-founders, Ronald Wayne, Steve Wozniak, and Steve Jobs in 1976 is Apple Inc.",1.6094379124341,2.1639556568820564,0.5545177444479563
P041,1,win,q_first,,qb_8138,triviaqa_se_hide.jsonl,hide,se,What is the name of the laboratory in New Jersey which is associated with Thomas Edison?,What laboratory in New Jersey was Thomas Edison associated with?,True,True,True,False,0.1,"Thomas Edison was associated with the Bell Labs, but more notably, he was associated with the Bell Labs' rival, the Bell Labs' competitor, and that is the Bell Labs' competitor, the Bell Labs' rival, the Bell Labs'",2.3025850929940455,0.9404479886553263,-1.3621371043387192
P042,1,win,q_first,,qb_712,triviaqa_se_hide.jsonl,hide,se,"In January 1957, Russell Endean became the first batsman to be dismissed from a test cricket match for doing what?",What led to Russell Endean being dropped from the first test cricket match in January 1957?,True,True,True,False,0.0,I am unable to verify what led to Russell Endean being dropped from the first test cricket match in January 1957.,1.8866967846580784,1.2275294114572126,-0.6591673732008658
P043,1,subthreshold,q_first,,tc_1735,triviaqa_se_false_alarm.jsonl,false_alarm,se,"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?","How many Formula One races did Mike Hawthorn, the former Formula One world champion, win out of his 45 Formula One races?",False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P044,1,win,qprime_first,,qb_7130,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who delivered their famous ‘The Lady’s Not For Turning’ speech in October 1980?,Who delivered the famous 'The Lady's Not For Turning' speech in October 1980?,True,True,True,True,1.0,"The famous 'The Lady's Not For Turning' speech was delivered by Margaret Thatcher, the then Prime Minister of the United Kingdom, in October 1980.",1.6957425341696346,2.1639556568820564,0.46821312271242177
P045,1,win,qprime_first,,dpql_1111,triviaqa_se_hide.jsonl,hide,se,Which 1949 film was set on the Scottish island of Todday?,What 1949 film was set on the Scottish island of Todday?,True,True,True,False,0.2,I'm not aware of any 1949 film that was set on the Scottish island of Todday.,1.6094379124341003,1.3592367006650063,-0.25020121176909393
P046,1,win,qprime_first,,qz_5919,triviaqa_se_hide.jsonl,hide,se,"Which TV comedy had characters McLaren, Blanco & Warren","What TV comedy featured the characters McLaren, Blanco, and Warren?",True,True,True,False,0.0,"I'm not aware of a TV comedy that features the characters McLaren, Blanco, and Warren. Could you provide more context or details about the show?",1.2275294114572126,0.9404479886553263,-0.2870814228018863
P047,1,win,q_first,,tc_2544,triviaqa_se_false_alarm.jsonl,false_alarm,se,In which Netherlands city does the United Nations International Court of Justice sit?,In which Dutch city is the United Nations International Court of Justice situated?,True,True,True,True,1.0,"The United Nations International Court of Justice is situated in The Hague, Netherlands.",0.639031859650177,1.7480673485460891,1.1090354888959122
P048,1,win,q_first,,qz_2291,triviaqa_se_hide.jsonl,hide,se,How meny times have Liverpool won the Europion Cup?,How many European Cup titles has Liverpool Football Club accumulated in its history?,True,True,True,False,0.1,Liverpool Football Club has accumulated 6 European Cup titles in its history.,0.9404479886553263,0.639031859650177,-0.30141612900514936
P049,1,win,qprime_first,,qb_8182,triviaqa_se_false_alarm.jsonl,false_alarm,se,"In humans, the medical condition Hyposmia affects which of the senses?",What sense in humans is affected by the medical condition Hyposmia?,True,True,True,True,1.0,The sense affected by the medical condition Hyposmia is the sense of smell.,0.3250829733914482,1.0888999753452235,0.7638170019537753
P050,1,win,qprime_first,,qz_2397,triviaqa_se_false_alarm.jsonl,false_alarm,se,"In Greek mythology, where do righteous souls go after death?",What is the ultimate destination or reward for virtuous souls in Greek mythology?,True,True,True,True,1.0,"In Greek mythology, the ultimate destination or reward for virtuous souls is the Elysian Fields (also known as the Elysian Plains or Elysium). The Elysian Fields are a paradise for heroes and virtuous individuals who",1.7480673485460891,2.3025850929940455,0.5545177444479563
P051,1,flip,q_first,,tc_1704,triviaqa_se_hide.jsonl,hide,se,Which grand slam did Pete Sampras not win in the 20th century?,What grand slam tournament did Pete Sampras fail to win during the 20th century?,False,True,False,True,0.6,Pete Sampras failed to win the French Open during the 20th century.,2.3025850929940455,1.6094379124341,-0.6931471805599454
P052,1,subthreshold,qprime_first,,qb_688,triviaqa_se_hide.jsonl,hide,se,The roller coaster ride called Rita is located at which English theme park?,At which English theme park is the roller coaster ride called Rita located?,False,False,True,False,-1.0,,1.7480673485460891,1.6094379124341,-0.13862943611198908
P053,1,win,qprime_first,,qb_7441,triviaqa_se_false_alarm.jsonl,false_alarm,se,A skink is what type of reptile?,What species of lizard is commonly referred to as a skink?,True,True,True,True,1.0,"The term ""skink"" is a general term that can refer to several species of lizards. However, the most common species of lizard referred to as a skink is the Common Skink (Plestiodon fasciatus)",1.4978661367769952,2.3025850929940455,0.8047189562170503
P054,1,win,qprime_first,,qb_4717,triviaqa_se_false_alarm.jsonl,false_alarm,se,In which year did students first enrol in the Open University in the UK,When did the Open University in the UK begin accepting student registrations?,True,True,True,True,1.0,The Open University in the UK began accepting student registrations in 1971.,1.3592367006650063,1.8343719702816235,0.4751352696166171
P055,1,win,q_first,,qb_4173,triviaqa_se_false_alarm.jsonl,false_alarm,se,Which late English singer released albums entitled ‘Frank’ and ‘Back to Black’?,"What famous English singer, who passed away, released the albums 'Frank' and 'Back to Black'?",True,True,True,True,1.0,The famous English singer who passed away and released the albums 'Frank' and 'Back to Black' is Amy Winehouse.,1.0888999753452235,1.4708084763221112,0.38190850097688767
P056,1,subthreshold,q_first,,tc_2222,triviaqa_se_hide.jsonl,hide,se,Who had the most expensive presidential inauguration ceremony of the 20th century?,What was the presidential inauguration ceremony with the highest cost in the 20th century?,False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P057,1,win,qprime_first,,qb_6532,triviaqa_se_hide.jsonl,hide,se,Cartoon character Penrod Pooch is better known by what name?,What is Penrod Pooch's most famous or commonly known name?,True,True,True,False,0.0,I'm not aware of any information about a character named Penrod Pooch.,1.4978661367769952,0.3250829733914482,-1.172783163385547
P058,1,subthreshold,qprime_first,,tc_2114,triviaqa_se_hide.jsonl,hide,se,What color golf balls are used on the golf course in Antarctica?,What colors are the golf balls commonly used on golf courses located in Antarctica?,False,False,True,False,-1.0,,1.8343719702816235,1.7480673485460891,-0.08630462173553433
P059,1,flip,q_first,,dpql_1059,triviaqa_se_false_alarm.jsonl,false_alarm,se,"Fireworks that burn red contain which element, the only one named after a place in UK?",What chemical element is the only one named after a location in the United Kingdom that is often associated with the vibrant color red in fireworks displays?,False,True,False,False,0.6,The chemical element you are referring to is Cerium (Ce).,1.4978661367769952,2.3025850929940455,0.8047189562170503
P060,1,win,q_first,,qb_3849,triviaqa_se_false_alarm.jsonl,false_alarm,se,Stanislaw August Poniatowski was the last king of which European country?,What European country was the last to be ruled by Stanislaw II August Poniatowski?,True,True,True,True,0.6,Stanislaw II August Poniatowski was the last king of Poland and Grand Duke of Lithuania. He was the last king of the Polish-Lithuanian Commonwealth.,0.639031859650177,2.1639556568820564,1.5249237972318794
P061,1,win,qprime_first,,qb_10298,triviaqa_se_hide.jsonl,hide,se,Which singer got her hair caught in the blades of a fan as she was performing in concert in Montreal in July 2013?,"At a concert in Montreal in July 2013, which female singer had her hair become entangled with a fan.",True,True,True,False,0.0,I am unable to verify which female singer had her hair become entangled with a fan at a concert in Montreal in July 2013.,1.6434177197931796,0.9404479886553263,-0.7029697311378533
P062,1,win,qprime_first,,dpql_3092,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who created Rumpole of the Bailey?,Who wrote the character of Rumpole of the Bailey?,True,True,True,True,1.0,The character of Rumpole of the Bailey was created by the British author John Mortimer.,1.2275294114572126,1.6094379124341,0.38190850097688744
P063,1,win,qprime_first,,tc_2740,triviaqa_se_false_alarm.jsonl,false_alarm,se,What is the name of the strong material found in plant cell walls?,What is the primary substance that gives plant cell walls their strength and structure?,True,True,True,True,1.0,"The primary substance that gives plant cell walls their strength and structure is cellulose. Cellulose is a type of complex carbohydrate, also known as a polysaccharide, that is made up of long chains of glucose molecules. It is",1.2275294114572126,1.6957425341696346,0.468213122712422
P064,1,subthreshold,qprime_first,,qb_8980,triviaqa_se_false_alarm.jsonl,false_alarm,se,Andrew Lloyd Webber and Tim Rice first worked together on which musical?,What musical did Andrew Lloyd Webber and Tim Rice first collaborate on?,False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P065,1,win,q_first,,tc_626,triviaqa_se_hide.jsonl,hide,se,Which musician founded the Red Hot Peppers?,Who among the founding members of the Red Hot Chili Peppers is credited with its inception?,True,True,True,False,0.0,"The founding members of the Red Hot Chili Peppers are Anthony Kiedis (vocals), Hillel Slovak (guitar), Flea (Michael Peter Balzary, bass), and Jack Irons (drums).",2.0253262207700673,1.3592367006650063,-0.666089520105061
P066,1,subthreshold,q_first,,qb_8785,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who did Germany defeat to win the 1990 FIFA World Cup?,"In the 1990 FIFA World Cup final, which team did the German national team beat in the championship match?",False,False,True,False,-1.0,,2.1639556568820564,2.3025850929940455,0.13862943611198908
P067,1,win,q_first,,qb_7238,triviaqa_se_false_alarm.jsonl,false_alarm,se,The Kremlin is situated in which city?,What city contains the historic Kremlin complex?,True,True,True,True,1.0,"The city that contains the historic Kremlin complex is Moscow, Russia.",0.0,1.2275294114572126,1.2275294114572126
P068,1,win,qprime_first,,qb_8687,triviaqa_se_hide.jsonl,hide,se,Which US singers controversially celebrated their fifth wedding anniversary in Cuba in April 2013?,Which US singers were at the center of controversy when they celebrated their fifth wedding anniversary in Cuba in April 2013?,True,True,True,False,0.0,I am unable to verify which US singers were at the center of controversy when they celebrated their fifth wedding anniversary in Cuba in April 2013.,2.0253262207700673,1.5047882836811908,-0.5205379370888765
P069,1,flip,qprime_first,,qb_602,triviaqa_se_hide.jsonl,hide,se,In which state of the US is it illegal to mis-pronounce the name of the state?,What US state has a law that dictates the pronunciation of its name?,False,True,False,True,0.2,The US state with a law that dictates the pronunciation of its name is Arkansas.,2.3025850929940455,2.0253262207700673,-0.27725887222397816
P070,1,win,qprime_first,,qb_4763,triviaqa_se_false_alarm.jsonl,false_alarm,se,Which 18th Century composer wrote ‘The Four Seasons’?,What famous musical composition from the 18th century is commonly known as 'The Four Seasons'?,True,True,True,True,0.8,The famous musical composition from the 18th century commonly known as 'The Four Seasons' is by Antonio Vivaldi.,1.4978661367769952,2.3025850929940455,0.8047189562170503
P071,1,subthreshold,q_first,,qb_5590,triviaqa_se_hide.jsonl,hide,se,What is the name of the cockerel in the UK television series ‘The Good Life’?,What is the name of the male character who is a chicken in the UK television series 'The Good Life'?,False,False,True,False,-1.0,,2.1639556568820564,2.0253262207700673,-0.13862943611198908
P072,1,subthreshold,q_first,,tc_1816,triviaqa_se_false_alarm.jsonl,false_alarm,se,"Who wrote My Life and Loves in 1926, originally banned in the US?","What author published the memoir ""My Life and Loves"" in 1926, which was initially prohibited in the US?",False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P073,1,win,q_first,,dpql_3015,triviaqa_se_false_alarm.jsonl,false_alarm,se,With what area of expertise do you associate the name of Annie Leibovitz?,What is Annie Leibovitz best known for?,True,True,True,True,0.5,"Annie Leibovitz is a renowned American photographer, best known for her work in the entertainment industry, particularly in the fields of celebrity portraiture and fashion photography. She is particularly famous for her iconic and often provocative images of famous",1.2275294114572126,2.3025850929940455,1.0750556815368328
P074,1,catch,q_first,,catch:qz_5082|tc_1699,synthetic,,,What is the currency of India?,What relation was Flo Jo to Jackie Joyner Kersee?,,,,,,,,,
P075,1,subthreshold,q_first,,qz_3101,triviaqa_se_false_alarm.jsonl,false_alarm,se,What was the name of the kangaroo often mistaken by Sylvester the cat to be a giant mouse?,What is the name of the kangaroo that Sylvester the cat often mistakes for a giant mouse?,False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P076,1,win,q_first,,qb_1580,triviaqa_se_false_alarm.jsonl,false_alarm,se,Which city hosted the 1992 Summer Olympic Games?,What city was the venue for the 1992 Summer Olympics?,True,True,True,True,1.0,"The city that was the venue for the 1992 Summer Olympics was Barcelona, Spain.",0.0,0.8979457248567797,0.8979457248567797
P077,1,win,qprime_first,,dpql_788,triviaqa_se_hide.jsonl,hide,se,"The TV characters Jack Ford, Trevor Chaplin and Jack Halford link which actor?","Which actor is associated with the TV characters Jack Ford, Trevor Chaplin, and Jack Halford?",True,True,True,False,0.0,"I'm not aware of any actor associated with the TV characters Jack Ford, Trevor Chaplin, and Jack Halford.",2.3025850929940455,1.2275294114572126,-1.0750556815368328
P078,1,catch,qprime_first,,catch:tc_106|qz_3393,synthetic,,,Which actress was voted Miss Greenwich Village in 1942?,Which `B` was the name of the mechanical shark used in the original `Jaws` film?,,,,,,,,,
P079,1,subthreshold,q_first,,qb_1285,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who does the commentary in the UK tv programme ‘Come Dine With Me’?,What are the main presenters or commentators that appear in the well-known British television show 'Come Dine With Me'?,False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P080,1,subthreshold,qprime_first,,dpql_3151,triviaqa_se_false_alarm.jsonl,false_alarm,se,On which river does Ipswich stand?,What river does Ipswich stand on?,False,False,True,False,-1.0,,1.2275294114572126,1.4184836619456564,0.19095425048844383
P081,1,subthreshold,q_first,,dpql_127,triviaqa_se_hide.jsonl,hide,se,In which Scottish border town was seven-a-side rugby first played?,In which Scottish border town was the sport of seven-a-side rugby first played?,False,False,True,False,-1.0,,0.9404479886553263,0.9404479886553263,0.0
P082,1,subthreshold,qprime_first,,qb_1253,triviaqa_se_false_alarm.jsonl,false_alarm,se,Which US gangster was released from Alcatraz prison in November 1939?,Which US gangster was paroled from Alcatraz in November 1939?,False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P083,1,win,qprime_first,,qb_2922,triviaqa_se_false_alarm.jsonl,false_alarm,se,The mask worn in the 1996 film ‘Scream’ is based on a painting by which artist?,The iconic mask in the 1996 film 'Scream' is inspired by a painting by which artist?,True,True,True,True,0.4,"The iconic mask in the 1996 film 'Scream' is inspired by a painting by Edvard Munch, specifically 'The Scream'.",2.0253262207700673,2.3025850929940455,0.27725887222397816
P084,1,win,q_first,,dpql_259,triviaqa_se_false_alarm.jsonl,false_alarm,se,At which battle of 2 December 1805 did Napoleon defeat a combined Austrian-Russian army?,"What decisive battle, led by Napoleon on 2 December 1805, resulted in a victory over a joint Austrian-Russian force?",True,True,True,True,0.7,"The decisive battle you're referring to is the Battle of Austerlitz, also known as the Battle of the Three Emperors. It took place on December 2, 1805, but more accurately on December 2 is",1.8343719702816235,2.3025850929940455,0.468213122712422
